,v0,v1,v2,v3
,-913641,-1.83418e+06,-998339,-968230
,-909611,-1.82866e+06,-1.03445e+06,-967640
,-907751,-1.8232e+06,-1.0384e+06,-968711
,-907541,-1.78196e+06,-1.04265e+06,-970734
,-907551,-1.7748e+06,-1.04782e+06,-975363
,-905780,-1.8314e+06,-1.05346e+06,-981546
,-905414,-1.82088e+06,-1.05859e+06,-987698
,-906192,-1.77721e+06,-1.06344e+06,-995817
,-908054,-1.76634e+06,-1.10181e+06,-1.03754e+06
,-911591,-1.75331e+06,-1.10439e+06,-1.04576e+06
,-863197,-1.7685e+06,-1.10187e+06,-983607
,-921868,-1.75457e+06,-1.10542e+06,-993757
,-970487,-1.70988e+06,-1.10971e+06,-1.03838e+06
,-979971,-1.69624e+06,-1.11006e+06,-1.0486e+06
,-921903,-1.64716e+06,-1.10802e+06,-1.05601e+06
,-928500,-1.69681e+06,-1.10466e+06,-1.06268e+06
,-932662,-1.64559e+06,-1.09797e+06,-1.09925e+06
,-971210,-1.62711e+06,-1.0557e+06,-1.10024e+06
,-973528,-1.57542e+06,-1.04444e+06,-1.1006e+06
,-976184,-1.58643e+06,-997332,-1.06418e+06
,-979194,-1.56569e+06,-1.04681e+06,-1.05884e+06
,-982012,-1.51189e+06,-997144,-1.05262e+06
,-984056,-1.52368e+06,-978707,-1.04445e+06
,-986404,-1.50172e+06,-926002,-1.03368e+06
,-988456,-1.448e+06,-970966,-989150
,-990758,-1.49304e+06,-918318,-1.04316e+06
,-990737,-1.4416e+06,-866320,-998902
,-990938,-1.389e+06,-911659,-984378
,-992015,-1.43514e+06,-859395,-969937
,-991990,-1.38447e+06,-840652,-922602
,-992213,-1.36527e+06,-789703,-971550
,-995362,-1.31454e+06,-836824,-921839
,-997100,-1.36421e+06,-790216,-907519
,-995330,-1.31512e+06,-776459,-859146
,-995600,-1.29837e+06,-729352,-906765
,-997858,-1.24974e+06,-783121,-858363
,-997368,-1.30026e+06,-774967,-844027
,-995563,-1.25215e+06,-733141,-795200
,-993773,-1.23779e+06,-726729,-846294
,-992978,-1.19013e+06,-719142,-797383
,-993225,-1.2418e+06,-715563,-783604
,-993856,-1.19401e+06,-710087,-734972
,-994540,-1.1819e+06,-710154,-722965
,-991523,-1.16992e+06,-710366,-776176
,-989691,-1.12432e+06,-709626,-730635
,-989142,-1.17839e+06,-710634,-719108
,-991230,-1.16838e+06,-713166,-708593
,-991496,-1.12665e+06,-716497,-666596
,-992542,-1.11819e+06,-719917,-657385
,-991190,-1.11252e+06,-726017,-716500
,-988869,-1.10643e+06,-732156,-710181
,-988956,-1.10159e+06,-737237,-671239
,-989492,-1.09949e+06,-776203,-667448
,-988198,-1.09804e+06,-784610,-665385
,-988104,-1.06451e+06,-724421,-662072
,-992013,-1.06492e+06,-731088,-660486
,-995265,-1.10007e+06,-770844,-661230
,-997628,-1.10466e+06,-778705,-663060
,-998885,-1.11083e+06,-786631,-666159
,-1.03272e+06,-1.11666e+06,-793089,-669248
,-1.03499e+06,-1.1241e+06,-799021,-706291
,-1.03607e+06,-1.1658e+06,-838375,-711706
,-1.03655e+06,-1.17606e+06,-844548,-719101
,-1.03575e+06,-1.12027e+06,-849899,-660247
,-1.03531e+06,-1.13024e+06,-788282,-667633
,-1.03605e+06,-1.17295e+06,-792629,-708347
,-1.03631e+06,-1.18379e+06,-796461,-717274
,-1.03682e+06,-1.19423e+06,-799733,-726523
,-1.03779e+06,-1.23674e+06,-801851,-735749
,-1.03711e+06,-1.18278e+06,-837936,-780335
,-1.03678e+06,-1.19112e+06,-839145,-724173
,-1.03808e+06,-1.23319e+06,-840938,-735260
,-1.03403e+06,-1.24341e+06,-845063,-781571
,-991750,-1.25436e+06,-849177,-796112
,-979261,-1.29483e+06,-849920,-840690
,-972046,-1.30197e+06,-851446,-787484
,-928050,-1.24589e+06,-857050,-836155
,-918008,-1.25281e+06,-860217,-850181
,-973595,-1.26106e+06,-865832,-865999
,-970795,-1.29849e+06,-867852,-911063
,-932645,-1.30992e+06,-914457,-867636
,-925921,-1.31581e+06,-917301,-914393
,-925972,-1.32353e+06,-860680,-932063
,-922870,-1.36658e+06,-905703,-919313
,-920055,-1.31148e+06,-917958,-972319
,-917041,-1.32072e+06,-931076,-992238
,-916259,-1.36274e+06,-976355,-1.04352e+06
,-913394,-1.37338e+06,-925477,-998364
,-912378,-1.38143e+06,-970501,-1.04806e+06
,-913628,-1.39108e+06,-985305,-1.09845e+06
,-916449,-1.4318e+06,-996812,-1.11284e+06
,-918728,-1.44046e+06,-1.04582e+06,-1.06374e+06
,-920349,-1.3796e+06,-986652,-1.10562e+06
,-927781,-1.38541e+06,-996609,-1.11544e+06
,-928007,-1.39207e+06,-1.04289e+06,-1.1262e+06
,-931060,-1.42692e+06,-1.04935e+06,-1.13049e+06
,-929056,-1.43072e+06,-1.06015e+06,-1.17014e+06
,-926684,-1.42849e+06,-1.06041e+06,-1.16765e+06
,-928221,-1.42854e+06,-1.09849e+06,-1.16786e+06
,-926437,-1.42621e+06,-1.10157e+06,-1.16552e+06
,-923362,-1.3898e+06,-1.10444e+06,-1.12895e+06
,-921290,-1.38245e+06,-1.10316e+06,-1.12126e+06
,-920637,-1.44151e+06,-1.1033e+06,-1.11439e+06
,-918000,-1.4334e+06,-1.10313e+06,-1.1067e+06
,-915939,-1.39106e+06,-1.1021e+06,-1.09825e+06
,-913441,-1.37912e+06,-1.10052e+06,-1.05605e+06
