,v0,v1,v2,v3
,-911299,-968215,-1.23132e+06,-1.17045e+06
,-912629,-970304,-1.23184e+06,-1.17201e+06
,-913883,-972861,-1.2316e+06,-1.17328e+06
,-916989,-974613,-1.23136e+06,-1.17506e+06
,-925919,-973790,-1.19219e+06,-1.17048e+06
,-919266,-971325,-1.18662e+06,-1.16588e+06
,-976837,-973531,-1.18636e+06,-1.16631e+06
,-991256,-976124,-1.18422e+06,-1.16554e+06
,-999228,-976673,-1.17992e+06,-1.12923e+06
,-1.03866e+06,-974893,-1.17195e+06,-1.12179e+06
,-1.04428e+06,-972007,-1.12977e+06,-1.17806e+06
,-984805,-967162,-1.11571e+06,-1.16457e+06
,-989492,-930262,-1.16792e+06,-1.11849e+06
,-990731,-923702,-1.11869e+06,-1.10203e+06
,-993557,-914453,-1.09906e+06,-1.0491e+06
,-996092,-906520,-1.11177e+06,-1.06136e+06
,-999181,-863250,-1.05579e+06,-1.03751e+06
,-1.03444e+06,-855308,-1.03497e+06,-1.04812e+06
,-1.03452e+06,-911333,-1.04468e+06,-991011
,-1.03684e+06,-901601,-988359,-933867
,-1.03751e+06,-859848,-932127,-975594
,-1.03757e+06,-850377,-974846,-918308
,-1.03755e+06,-842966,-919838,-863263
,-1.03557e+06,-802070,-865284,-906462
,-1.03397e+06,-794895,-909305,-851942
,-1.0327e+06,-788176,-857879,-799690
,-999145,-847122,-839452,-845881
,-1.0324e+06,-841509,-788733,-795621
,-1.03302e+06,-837362,-839722,-781018
,-998960,-802013,-794829,-736489
,-997583,-798412,-783597,-725195
,-994839,-796113,-773826,-781535
,-991453,-793659,-732697,-773668
,-988914,-792010,-725802,-735169
,-986650,-790023,-786384,-730666
,-983816,-788511,-784114,-728610
,-1.04752e+06,-786202,-782023,-727065
,-1.04578e+06,-784381,-782395,-727542
,-1.04531e+06,-783074,-782895,-729028
,-1.04428e+06,-781360,-721903,-732912
,-1.04189e+06,-779008,-725300,-736515
,-1.04062e+06,-775943,-730612,-774146
,-1.03988e+06,-772585,-735003,-778735
,-1.0407e+06,-770542,-775436,-785617
,-1.03757e+06,-735709,-784925,-728550
,-1.036e+06,-730617,-789486,-733497
,-1.03428e+06,-727101,-800039,-774656
,-998346,-722408,-839881,-780834
,-998364,-783641,-846039,-786963
,-1.03248e+06,-778766,-787506,-792838
,-1.03653e+06,-774202,-794685,-799245
,-1.03761e+06,-770301,-802097,-838615
,-1.03835e+06,-733659,-841431,-844840
,-1.03809e+06,-730115,-848138,-851665
,-1.03813e+06,-724788,-853007,-790483
,-1.03808e+06,-721644,-858350,-795331
,-1.03755e+06,-717861,-861449,-798488
,-1.03836e+06,-714001,-864707,-801743
,-1.03864e+06,-712454,-867090,-838135
,-1.0376e+06,-710406,-901670,-840688
,-1.03655e+06,-708097,-902881,-842736
,-1.03652e+06,-708086,-903918,-845061
,-1.0352e+06,-708042,-903691,-847369
,-1.03369e+06,-707286,-903168,-848670
,-1.03298e+06,-707551,-901850,-849644
,-1.03244e+06,-709091,-868143,-850997
,-997572,-711661,-866353,-852009
,-990468,-715978,-901682,-856104
,-976638,-721618,-902857,-859914
,-928570,-727291,-902416,-862968
,-979171,-734147,-903170,-866560
,-929737,-774396,-906984,-904158
,-919018,-780766,-905984,-905968
,-914895,-724480,-909817,-911304
,-912657,-736224,-852467,-854293
,-906997,-783558,-865853,-867584
,-868146,-797484,-903684,-909080
,-866042,-846365,-916013,-922088
,-864822,-796449,-926702,-966860
,-867117,-846857,-973840,-981302
,-901431,-865339,-924098,-931075
,-901667,-852719,-975665,-981237
,-868331,-903624,-990763,-995875
,-907325,-920341,-1.03527e+06,-1.0399e+06
,-916017,-970516,-984065,-987449
,-921355,-923707,-999391,-1.03399e+06
,-921815,-973861,-1.04657e+06,-1.04659e+06
,-919515,-990262,-1.05774e+06,-1.05653e+06
,-916985,-1.03782e+06,-1.06476e+06,-1.0629e+06
,-914478,-987626,-1.10768e+06,-1.10282e+06
,-908849,-1.03421e+06,-1.05086e+06,-1.10895e+06
,-903400,-1.04602e+06,-1.05296e+06,-1.11002e+06
,-868066,-1.05656e+06,-1.05392e+06,-1.10973e+06
,-867085,-1.10077e+06,-1.05524e+06,-1.10905e+06
,-863963,-1.11358e+06,-1.05828e+06,-1.1105e+06
,-861377,-1.05857e+06,-1.05707e+06,-1.10842e+06
,-862913,-1.10058e+06,-1.05623e+06,-1.10539e+06
,-860379,-1.1151e+06,-1.06261e+06,-1.10853e+06
,-853225,-1.12819e+06,-1.09778e+06,-1.10954e+06
,-914446,-1.17063e+06,-1.06163e+06,-1.10643e+06
,-914713,-1.11612e+06,-1.06165e+06,-1.10623e+06
,-912129,-1.12943e+06,-1.06494e+06,-1.1085e+06
,-910027,-1.17376e+06,-1.09874e+06,-1.10952e+06
,-908813,-1.18549e+06,-1.10104e+06,-1.11178e+06
