,v0,v1,v2,v3
,-917508,-1.25565e+06,-1.10334e+06,-1.05138e+06
,-914967,-1.23903e+06,-1.09975e+06,-1.05032e+06
,-910912,-1.18855e+06,-1.06423e+06,-1.04984e+06
,-907521,-1.16919e+06,-1.06111e+06,-1.04929e+06
,-904909,-1.05191e+06,-1.05785e+06,-1.04955e+06
,-901573,-1.0325e+06,-1.05517e+06,-1.05034e+06
,-865520,-979923,-1.0522e+06,-1.05118e+06
,-866022,-928706,-1.04883e+06,-1.05297e+06
,-865836,-912065,-1.04957e+06,-1.05781e+06
,-865527,-798421,-1.04984e+06,-1.06297e+06
,-864986,-783910,-1.05242e+06,-1.10257e+06
,-867852,-771385,-1.05143e+06,-1.10843e+06
,-903413,-664001,-1.05682e+06,-1.11796e+06
,-906218,-656115,-1.05903e+06,-1.12614e+06
,-910897,-649499,-1.06346e+06,-1.16766e+06
,-926422,-575289,-1.06083e+06,-1.16911e+06
,-926253,-538385,-1.06057e+06,-1.17293e+06
,-978656,-509661,-1.10004e+06,-1.11771e+06
,-992708,-511773,-1.10084e+06,-1.12202e+06
,-1.03451e+06,-451334,-1.10078e+06,-1.12439e+06
,-1.04218e+06,-456756,-1.06371e+06,-1.12199e+06
,-1.04776e+06,-399387,-1.05774e+06,-1.11768e+06
,-989729,-342053,-1.1113e+06,-1.17319e+06
,-996585,-384788,-1.10029e+06,-1.12844e+06
,-998684,-333611,-1.05269e+06,-1.1141e+06
,-998945,-317377,-1.03656e+06,-1.06396e+06
,-1.03453e+06,-266763,-1.04779e+06,-1.10561e+06
,-1.03831e+06,-319971,-992816,-1.0483e+06
,-1.03913e+06,-311853,-970256,-989962
,-1.03908e+06,-273464,-978482,-994762
,-1.04016e+06,-271387,-922333,-933581
,-1.03961e+06,-275154,-865739,-970277
,-1.03989e+06,-314083,-905486,-907486
,-1.03967e+06,-325907,-848613,-911650
,-1.0394e+06,-275217,-791572,-849610
,-1.03802e+06,-330507,-838206,-791817
,-1.03603e+06,-388051,-784069,-798240
,-1.03469e+06,-386252,-733239,-775404
,-998625,-452602,-781586,-785907
,-997600,-457715,-732985,-732468
,-996353,-467520,-718376,-714751
,-997127,-579619,-707585,-667156
,-993729,-597240,-667187,-655848
,-989194,-649772,-658993,-710640
,-986081,-671708,-717776,-668969
,-984341,-728846,-713018,-662811
,-1.04838e+06,-787933,-711894,-659695
,-1.0455e+06,-913951,-711120,-658429
,-1.04012e+06,-974128,-712206,-659419
,-1.03754e+06,-1.03268e+06,-712490,-659256
,-1.03583e+06,-1.05907e+06,-715301,-662311
,-1.03857e+06,-1.11562e+06,-717006,-665073
,-1.03987e+06,-1.17328e+06,-658129,-705255
,-1.03905e+06,-1.19529e+06,-664791,-712698
,-1.03606e+06,-1.24648e+06,-669892,-719602
,-1.03497e+06,-1.36068e+06,-707323,-661282
,-1.03625e+06,-1.37218e+06,-713470,-669387
,-1.03702e+06,-1.3801e+06,-719816,-710138
,-1.03754e+06,-1.45002e+06,-726073,-719163
,-1.04035e+06,-1.44695e+06,-729293,-724442
,-1.04168e+06,-1.50815e+06,-735246,-733243
,-1.04273e+06,-1.56232e+06,-771009,-771859
,-1.04442e+06,-1.51345e+06,-774850,-778447
,-1.0434e+06,-1.55727e+06,-777213,-783663
,-1.04292e+06,-1.5611e+06,-777754,-721123
,-1.04198e+06,-1.5621e+06,-778991,-725015
,-1.04218e+06,-1.52243e+06,-777269,-726514
,-1.0419e+06,-1.51302e+06,-777266,-729027
,-1.04196e+06,-1.5637e+06,-775999,-730346
,-1.04137e+06,-1.5107e+06,-774192,-730606
,-1.03941e+06,-1.4546e+06,-773082,-731438
,-1.04012e+06,-1.45666e+06,-736014,-728889
,-1.03933e+06,-1.39258e+06,-734524,-729097
,-1.03655e+06,-1.38955e+06,-731705,-728314
,-1.03445e+06,-1.31913e+06,-730071,-728560
,-1.03366e+06,-1.31066e+06,-727032,-727318
,-1.03349e+06,-1.30177e+06,-727526,-729836
,-997099,-1.19296e+06,-725034,-730612
,-988890,-1.18296e+06,-730571,-736045
,-974113,-1.17045e+06,-729313,-771270
,-930544,-1.05988e+06,-732658,-775706
,-980223,-1.04883e+06,-771812,-783145
,-933062,-1.03682e+06,-776425,-788716
,-921393,-930862,-785422,-799295
,-916984,-921562,-724461,-838958
,-919856,-916228,-733895,-850225
,-921817,-848926,-781606,-800051
,-919546,-786472,-800792,-852205
,-915709,-789245,-851163,-903137
,-913149,-728638,-836117,-856554
,-909586,-771268,-860201,-911927
,-906728,-714515,-909884,-929488
,-908250,-663284,-866534,-919243
,-906793,-707901,-919542,-970488
,-914376,-657350,-967431,-986673
,-917449,-646206,-928210,-1.04295e+06
,-920084,-598820,-976681,-992741
,-918721,-590051,-1.0345e+06,-1.04578e+06
,-916285,-643631,-1.04809e+06,-1.05753e+06
,-915415,-603642,-1.03551e+06,-1.10562e+06
,-908022,-595919,-1.04878e+06,-1.04984e+06
,-909524,-586776,-1.05604e+06,-1.05426e+06
